[3.34, 0.67]
[3.36, 0.66]
[3.39, 0.65]
[3.4, 0.63]
[3.42, 0.59]
[3.43, 0.58]
[3.47, 0.57]
[3.49, 0.54]
[3.51, 0.51]
[3.52, 0.51]
[3.54, 0.48]
[3.56, 0.45]
[3.57, 0.43]
[2.02, 0.82]
[2.03, 0.83]
[3.63, 0.38]
[3.67, 0.35]
[3.7, 0.33]
[3.71, 0.31]
[3.73, 0.29]
[3.76, 0.27]
[3.79, 0.25]
[3.81, 0.24]
[3.85, 0.21]
[0.0, 0.0]
[3.9, 0.2]
[3.93, 0.19]
[3.96, 0.21]
[3.99, 0.19]
[4.03, 0.22]
[4.05, 0.23]
[4.08, 0.22]
[4.12, 0.25]
[4.16, 0.26]
[4.19, 0.28]
[3.41, 0.3]
[1.72, 0.21]
[1.69, 0.17]
[1.69, 0.16]
[1.69, 0.16]
[0.0, 0.0]
[1.84, 0.44]
[1.85, 0.45]
[1.84, 0.44]
[1.84, 0.43]
[1.83, 0.41]
[1.82, 0.4]
[1.81, 0.39]
