[40, [4.6198, 0.0], [0.4221, 0.008408]]
[45, [4.6507, 0.007888], [0.3924, 0.0]]
[50, [4.6733, 0.0], [0.3603, 0.007135]]
[55, [4.709, 0.0], [0.3437, 0.007888]]
[60, [4.7447, 0.0], [0.3199, 0.004449]]
[65, [4.7815, 0.004449], [0.2854, 0.006513]]
[70, [4.8267, 0.008738], [0.2676, 0.0]]
[75, [4.8636, 0.008408], [0.2676, 0.0]]
[80, [4.9052, 0.0], [0.2462, 0.007135]]
[85, [4.9409, 0.0], [0.2497, 0.0]]
[90, [4.9765, 0.0], [0.2473, 0.006063]]
[95, [5.0146, 0.006063], [0.2545, 0.010229]]
[100, [5.0657, 0.0], [0.2687, 0.004449]]
[105, [5.1014, 0.0], [0.2878, 0.006063]]
[110, [5.1406, 0.007135], [0.3044, 0.004449]]
[115, [5.1906, 0.0], [0.3223, 0.004449]]
[120, [5.237, 0.008738], [0.3401, 0.004449]]
[125, [5.2798, 0.0], [0.3781, 0.007135]]
[130, [5.3404, 0.008738], [0.4317, 0.011651]]
[135, [5.3916, 0.007888], [0.4483, 0.006063]]
[140, [5.4581, 0.0], [0.4852, 0.011651]]
[145, [5.5235, 0.008408], [0.5006, 0.004449]]
[150, [5.5866, 0.007135], [0.5494, 0.011651]]
[155, [5.6413, 0.007888], [0.5577, 0.007888]]
[160, [5.6865, 0.007135], [0.5898, 0.010229]]
[165, [5.7899, 0.008738], [0.6635, 0.014852]]
[170, [5.8815, 0.007888], [0.7087, 0.013765]]
[175, [5.96, 0.006063], [0.767, 0.013026]]
[180, [6.111, 0.008738], [0.8514, 0.012127]]
