[40, [3.4568, 0.007135], [0.8621, 0.008408]]
[45, [3.477, 0.004449], [0.855, 0.010229]]
[50, [3.4866, 0.008899], [0.8217, 0.007888]]
[55, [3.4961, 0.0], [0.8027, 0.0]]
[60, [3.5317, 0.0], [0.8027, 0.0]]
[65, [3.5674, 0.0], [0.7848, 0.0]]
[70, [3.6102, 0.008738], [0.7563, 0.008738]]
[75, [3.6376, 0.004449], [0.7337, 0.006063]]
[80, [3.6661, 0.008899], [0.7135, 0.0]]
[85, [3.6744, 0.0], [0.6968, 0.004449]]
[90, [3.6923, 0.0], [0.6766, 0.004449]]
[95, [3.7125, 0.006063], [0.6766, 0.004449]]
[100, [3.7315, 0.007135], [0.6635, 0.007135]]
[105, [3.7458, 0.0], [0.6421, 0.0]]
[110, [3.7636, 0.0], [0.6184, 0.008408]]
[115, [3.7482, 0.006063], [0.5625, 0.012807]]
[120, [3.766, 0.006063], [0.5422, 0.008738]]
[125, [3.7969, 0.006063], [0.4531, 0.008738]]
[130, [3.8005, 0.004449], [0.3722, 0.006063]]
[135, [3.835, 0.0], [0.3282, 0.010899]]
[140, [3.8706, 0.0], [0.327, 0.008408]]
[145, [3.9218, 0.006063], [0.377, 0.008899]]
[150, [4.0347, 0.009661], [0.5137, 0.014852]]
