[40, [4.4625, 0.0], [0.5086, 0.017167]]
[45, [4.5028, 0.014104], [0.4856, 0.017799]]
[50, [4.5643, 0.014363], [0.4549, 0.018806]]
[55, [4.6122, 0.011516], [0.4357, 0.017799]]
[60, [4.666, 0.007182], [0.4146, 0.017591]]
[65, [4.7216, 0.0], [0.4011, 0.016511]]
[70, [4.7811, 0.007182], [0.3762, 0.019574]]
[75, [4.8445, 0.012732], [0.3685, 0.018806]]
[80, [4.9213, 0.007182], [0.3512, 0.021545]]
[85, [4.9788, 0.007182], [0.3647, 0.017167]]
[90, [5.0537, 0.014363], [0.3666, 0.016511]]
[95, [5.1247, 0.0], [0.3493, 0.023192]]
[100, [5.2111, 0.0], [0.3589, 0.017799]]
[105, [5.2994, 0.007182], [0.3954, 0.016511]]
[110, [5.4126, 0.0], [0.4203, 0.017591]]
[115, [5.5009, 0.007182], [0.4606, 0.018209]]
[120, [5.6698, 0.007182], [0.501, 0.014104]]
[125, [5.8656, 0.012732], [0.6027, 0.012732]]
[130, [6.3128, 0.054084], [0.9271, 0.039615]]
